class,species,common.name,latitude,longitute,temp,NPP,daylength,mass.g,FMR.kJ.day,diet,reference,notes
Mammals,Oryx leucoryx,Arabian oryx,28.25,41.66666667,32.5,0.07612,13.64408917,81500,11076,herb,168,
Mammals,Oryx leucoryx,Arabian oryx,28.25,41.66666667,22.76666667,0.07612,12.68333786,89000,22081,herb,168,
Mammals,Perognathus formosus,Long-tailed pocket mouse,36.5,-116,18.03333333,0.19741,,17.9,45.2,herb,"108, 92",
Mammals,Peromyscus crinitus,Cactus mouse,42,-71,-0.333333333,6.95452,9.261325035,13.4,39.3,omn,"108, 91",
Mammals,Peromyscus leucopus,White-footed deer mouse,43.5,-90,18.7,6.68258,13.87361347,19.41428571,45.01487693,omn,"108, 93",
Mammals,Peromyscus leucopus,White-footed deer mouse,36,-84,11.75555556,7.46484,,19.4,36.6,omn,"108, 119",
Mammals,Peromyscus maniculatus,Deer mouse,37,-118,4.533333333,0.36225,12.34142327,17.6,68.4,omn,"108, 62",
Mammals,Peromyscus maniculatus,Deer mouse,37,-118,15.5,0.36225,11.73562085,18.4,46.3,omn,"108, 62",
Mammals,Petauroides volans,Greater glider,-25.46666667,152.6333333,18.2,11.8313,10.54518099,995,520,herb,"108, 40",
Mammals,Petaurus breviceps,Sugar glider,-37,142,9.7,,12.34142327,124,173,omn,"108, 106",
Mammals,Petrogale lateralis,Western rock-wallaby,-20.75,115.3333333,25.5,,13.10145323,2205,610,herb,98,
Mammals,Phascogale calura,Wambenger,-32.75,117.3333333,16.375,1.19548,,33.5,61.9,carn,"108, 55",
Mammals,Phascolarctos cinereus,Koala,-24,148,27,6.70419,13.46825523,7400,1476.113281,herb,"108, 38",
Mammals,Phascolarctos cinereus,Koala,-24,148,14,6.70419,10.64102552,7800,1782.930092,herb,"108, 38",
Mammals,Phascolarctos cinereus,Koala,-38.2,146,9.3,4.85129,10.45126084,9300,2040,herb,101,
Mammals,Phoca vitulina,Common seal,59.13333333,-3.083333333,11.8,3.03742,18.11985129,99000,52500,carn,"108, 120",
Mammals,Phocarctos hookeri,New Zealand Sea Lion,-50.5,166.2833333,12.5,,15.05123328,111400,52648.5312,carn,24,
Mammals,Phyllostomus hastatus,Spear-nosed bat,10.5,-61.25,30,,11.42079944,80.8,146,carn,"108, 76",
Mammals,Plecotus auritus,Brown long-eared bat,57,-3,5.508333206,3.04032,,8.5,27.6,carn,"108, 135",
Mammals,Potorous tridactylus,Long-nosed potoroo,-38,143,11.1,4.32452,11.64600316,831,590,herb,"108, 149",
Mammals,Potorous tridactylus,Long-nosed potoroo,-38,143,17.2,4.32452,14.36330457,839,463,herb,"108, 149",
Mammals,Praomys natalensis,Multi-mammate mouse,-29.58333333,30.41666667,18.6,8.53548,13.89590659,57.3,86.6,omn,"108, 57",
Mammals,Proteles cristatus,Aardwolf,-28.83333333,24.83333333,12.2,3.60323,13.82150957,7768,2891.2,carn,"108, 162",
Mammals,Proteles cristatus,Aardwolf,-28.83333333,24.83333333,27.2,3.60323,10.17765981,8543,1844.8,carn,"108, 162",
Mammals,Psammomys obesus,Fat sand rat,30.86666667,34.78333333,17.5,,,170,165,herb,"108, 31",
Mammals,Pseudocheirus peregrinus,Ring-tail possum,-40.1,148.0166667,13.3,4.69774,,1000,615,herb,"108, 94",
Mammals,Pseudomys nanus,Barrow Island mouse,-20.75,115.3333333,25.86666667,,,44.43333333,44.6,herb,"134, 10",
Mammals,Saccopteryx bilineata,Sac-winged bat,10.41666667,-84,19.3,7.6,11.44640066,7.85,16.2,carn,147,
